country,current_solar_coverage,missing_solar_coverage,required_additional_solar_capacity,total_energy_consumption,panels_needed,estimated_cost,co2_reduction,land_usage
Canada,1.21,98.79,417039,633,1042597500.00,1251117000000.00,316500.00,177241.58
United States,3.50,96.50,1055000,4200,2637500000.00,3174000000000.00,789000.00,410850.00
Germany,15.00,85.00,120000,575,300000000.00,450000000000.00,144000.00,6820.00
China,10.00,90.00,2100000,3000,5250000000.00,6350000000000.00,1575000.00,1050000.00
India,5.00,95.00,950000,1400,2375000000.00,3050000000000.00,712500.00,475000.00
Brazil,7.25,92.75,600000,800,1500000000.00,2000000000000.00,450000.00,300000.00
Australia,20.00,80.00,400000,350,1000000000.00,150000000000.00,120000.00,25000.00
France,12.50,87.50,300000,250,750000000.00,950000000000.00,90000.00,15000.00
Japan,8.00,92.00,500000,600,1250000000.00,1700000000000.00,300000.00,85000.00
United Kingdom,10.00,90.00,250000,300,625000000.00,800000000000.00,180000.00,10000.00
South Africa,6.50,93.50,400000,500,1000000000.00,1400000000000.00,250000.00,120000.00
Russia,4.00,96.00,800000,1000,2000000000.00,3000000000000.00,500000.00,350000.00
Mexico,9.00,91.00,350000,450,875000000.00,1100000000000.00,200000.00,150000.00
Italy,11.00,89.00,220000,270,550000000.00,650000000000.00,120000.00,8000.00
Argentina,5.50,94.50,180000,220,450000000.00,580000000000.00,95000.00,7000.00
South Korea,6.75,93.25,160000,190,400000000.00,520000000000.00,85000.00,5500.00
Egypt,7.00,93.00,320000,210,800000000.00,1000000000000.00,150000.00,10500.00
Turkey,9.50,90.50,310000,250,775000000.00,950000000000.00,185000.00,8500.00
Spain,13.00,87.00,210000,200,525000000.00,650000000000.00,130000.00,4500.00
Indonesia,4.00,96.00,950000,1100,2375000000.00,3050000000000.00,712500.00,570000.00
Pakistan,3.00,97.00,500000,500,1250000000.00,1500000000000.00,350000.00,240000.00
Bangladesh,2.00,98.00,250000,200,625000000.00,850000000000.00,175000.00,105000.00
Nigeria,1.50,98.50,300000,250,750000000.00,1000000000000.00,225000.00,115000.00
Colombia,4.50,95.50,200000,150,500000000.00,650000000000.00,90000.00,55000.00
Vietnam,5.00,95.00,450000,350,1125000000.00,1450000000000.00,300000.00,150000.00
Saudi Arabia,10.00,90.00,850000,650,2125000000.00,2750000000000.00,600000.00,400000.00
Malaysia,6.00,94.00,150000,120,375000000.00,500000000000.00,60000.00,32000.00
Philippines,4.50,95.50,120000,100,300000000.00,400000000000.00,45000.00,25000.00
Thailand,7.00,93.00,250000,200,625000000.00,850000000000.00,180000.00,95000.00
Chile,8.50,91.50,350000,250,875000000.00,1100000000000.00,230000.00,135000.00
Peru,3.50,96.50,180000,150,450000000.00,600000000000.00,100000.00,75000.00
Kenya,5.25,94.75,75000,70,187500000.00,250000000000.00,45000.00,17000.00
Morocco,12.00,88.00,85000,60,212500000.00,300000000000.00,70000.00,12000.00
Ghana,3.00,97.00,40000,30,100000000.00,150000000000.00,25000.00,9000.00
Ukraine,7.50,92.50,300000,180,750000000.00,1000000000000.00,270000.00,80000.00
Poland,8.00,92.00,200000,130,500000000.00,700000000000.00,180000.00,30000.00
Norway,20.00,80.00,50000,50,125000000.00,200000000000.00,50000.00,10000.00
Sweden,18.00,82.00,60000,55,150000000.00,250000000000.00,72000.00,15000.00
Denmark,22.50,77.50,40000,40,100000000.00,150000000000.00,45000.00,8000.00
Finland,15.00,85.00,30000,35,75000000.00,120000000000.00,32000.00,6500.00
New Zealand,12.00,88.00,75000,50,187500000.00,300000000000.00,60000.00,9000.00
Portugal,9.00,91.00,100000,85,250000000.00,400000000000.00,85000.00,4500.00
Ireland,11.00,89.00,80000,65,200000000.00,300000000000.00,68000.00,3200.00
Switzerland,8.00,92.00,60000,50,150000000.00,250000000000.00,50000.00,2700.00
Netherlands,10.00,90.00,120000,100,300000000.00,500000000000.00,96000.00,5000.00
Belgium,12.50,87.50,75000,55,187500000.00,300000000000.00,68000.00,3200.00
Austria,14.00,86.00,70000,60,175000000.00,300000000000.00,62000.00,2800.00
Hungary,6.00,94.00,40000,35,100000000.00,200000000000.00,45000.00,1500.00
Czech Republic,5.00,95.00,50000,45,125000000.00,200000000000.00,50000.00,2300.00
Romania,7.00,93.00,60000,55,150000000.00,250000000000.00,70000.00,3000.00